District Number,District Name,District,Address,City,State,Zip,Full Address,Coordinates,Longitude,Latitude
751,Murfreesboro City Schools,Murfreesboro City,2552 South Church St,Murfreesboro,TN,37127,"2552 South Church St, Murfreesboro, TN, 37127","-86.39831,35.801617",-86.39831,35.801617
760,Scott County Schools,Scott County,208 Court Street,Huntsville,TN,37756,"208 Court Street, Huntsville, TN, 37756","-84.49044,36.409916",-84.49044,36.409916
761,Oneida Special School District,Oneida SSD,195 North Bank Street,Oneida,TN,37841,"195 North Bank Street, Oneida, TN, 37841","-84.51135,36.49941",-84.51135,36.49941
770,Sequatchie County Schools,Sequatchie County,878 Cordell Drive,Dunlap,TN,37327,"878 Cordell Drive, Dunlap, TN, 37327","-85.40873,35.359123",-85.40873,35.359123
780,Sevier County School System,Sevier County,226 Cedar St,Sevierville,TN,37862,"226 Cedar St, Sevierville, TN, 37862","-83.562294,35.86553",-83.562294,35.86553
792,Shelby County Schools,Shelby County,160 S Hollywood,Memphis,TN,38112,"160 S Hollywood, Memphis, TN, 38112","-89.977234,35.132084",-89.977234,35.132084
793,Arlington Municipal School District,Arlington City,5475 Airline Road,Arlington,TN,38002,"5475 Airline Road, Arlington, TN, 38002","-89.66671,35.275295",-89.66671,35.275295
794,Bartlett Municipal School District,Bartlett City,5650 Woodlawn Street,Bartlett,TN,38134,"5650 Woodlawn Street, Bartlett, TN, 38134","-89.871735,35.207108",-89.871735,35.207108
795,Collierville Municipal School District,Collierville City,146 College St,Collierville,TN,38017,"146 College St, Collierville, TN, 38017","-89.667534,35.04433",-89.667534,35.04433
796,Germantown Municipal School District,Germantown City,6685 Poplar Ave,Germantown,TN,38138,"6685 Poplar Ave, Germantown, TN, 38138","-89.840126,35.09836",-89.840126,35.09836
797,Lakeland Municipal School District,Lakeland City,10001 Highway 70,Lakeland,TN,38002,"1001 Highway 70, Lakeland, TN, 38002","-89.729029,35.262020",-89.729029,35.26202
798,Millington Municipal School District,Millington City,5020 2nd Avenue,Millington,TN,38053,"5020 2nd Avenue, Millington, TN, 38053","-89.895121,35.347033",-89.895121,35.347033
800,Smith County School District,Smith County,126 SCMS Lane,Carthage,TN,37030,"126 SCMS Lane, Carthage, TN, 37030","-85.946925,36.225936",-85.946925,36.225936
810,Stewart County Schools,Stewart County,1031 Spring Street,Dover,TN,37058,"1031 Spring Street, Dover, TN, 37058","-87.820274,36.479687",-87.820274,36.479687
820,Sullivan County Schools,Sullivan County,154 Blountville Bypass,Blountville,TN,37617,"154 Blountville Bypass, Blountville, TN, 37617","-82.32444,36.535427",-82.32444,36.535427
821,Bristol City Schools,Bristol City,615 Martin Luther King Jr Blvd,Bristol,TN,37620,"615 Martin Luther King Jr Blvd, Bristol, TN, 37620","-82.181449,36.588733",-82.181449,36.588733
822,Kingsport City Schools,Kingsport City,400 Clinchfield St,Kingsport,TN,37660,"400 Clinchfield St, Kingsport, TN, 37660","-82.56408,36.55227",-82.56408,36.55227
830,Sumner County Schools,Sumner County,695 East Main St,Gallatin,TN,37066,"695 East Main St, Gallatin, TN, 37066","-86.433105,36.393864",-86.433105,36.393864
840,Tipton County Schools,Tipton County,1580 Highway 51 South,Covington,TN,38019,"1580 Highway 51 South, Covington, TN, 38019","-89.630394,35.602756",-89.630394,35.602756
850,Trousdale County Schools,Trousdale County,103 Lock Six Rd,Hartsville,TN,37074,"103 Lock Six Rd, Hartsville, TN, 37074","-86.13955,36.38623",-86.13955,36.38623
860,Unicoi County Schools,Unicoi County,100 Nolichucky Av,Erwin,TN,37650,"100 Nolichucky Av, Erwin, TN, 37650","-82.417465,36.145782",-82.417465,36.145782
870,Union County Schools,Union County,3006 Maynardville Hwy,Maynardville,TN,37807,"3006 Maynardville Hwy, Maynardville, TN, 37807","-83.832916,36.232603",-83.832916,36.232603
880,Van Buren County Schools,Van Buren County,293 Sparta Street,Spencer,TN,38585,"293 Sparta Street, Spencer, TN, 38585","-85.466225,35.750362",-85.466225,35.750362
890,Warren County School District,Warren County,2548 Morrison St,McMinnville,TN,37110,"2548 Morrison St, McMinnville, TN, 37110","-85.808044,35.653152",-85.808044,35.653152
900,Washington County Schools,Washington County,405 W College St,Jonesborough,TN,37659,"405 W College St, Jonesborough, TN, 37659","-82.47978,36.29349",-82.47978,36.29349
901,Johnson City Schools,Johnson City,100 East Maple Street,Johnson City,TN,37601,"100 East Maple Street, Johnson City, TN, 37601","-82.34799,36.314247",-82.34799,36.314247
910,Wayne County Schools,Wayne County,419 South Main Street,Waynesboro,TN,38485,"419 South Main Street, Waynesboro, TN, 38485","-87.76315,35.313393",-87.76315,35.313393
920,Weakley County Schools,Weakley County,8319 Hwy 22,Dresden,TN,38225,"8319 Hwy 22, Dresden, TN, 38225","-88.698659,36.275393",-88.698659,36.275393
930,White County Schools,White County,136 Baker St,Sparta,TN,38583,"136 Baker St, Sparta, TN, 38583","-85.454575,35.927807",-85.454575,35.927807
940,Williamson County Schools,Williamson County,1320 W Main,Franklin,TN,37064,"1320 W Main, Franklin, TN, 37064","-86.8843,35.914593",-86.8843,35.914593
941,Franklin Special School District,Franklin SSD,507 New Highway 96 West,Franklin,TN,37064,"507 New Highway 96 West, Franklin, TN, 37064","-86.882148,35.924659",-86.882148,35.924659
950,Wilson County School District,Wilson County,351 Stumpy La,Lebanon,TN,37090,"351 Stumpy La, Lebanon, TN, 37090","-86.30433,36.166687",-86.30433,36.166687
951,Lebanon Special School District,Lebanon SSD,701 Coles Ferry Pk,Lebanon,TN,37087,"701 Coles Ferry Pk, Lebanon, TN, 37087","-86.29794,36.218895",-86.29794,36.218895
960,West Tennessee School for the Deaf,West Tenn School for Deaf,100 Berryhill Drive,Jackson,TN,38301,"100 Berryhill Drive, Jackson, TN, 38301","-88.788734,35.644974",-88.788734,35.644974
961,Alvin C. York Institute,Alvin C. York Institute,701 North Main Street,Jamestown,TN,38556,"701 North Main Street, Jamestown, TN, 38556","-84.93573,36.41533",-84.93573,36.41533
963,Tennessee School for the Blind,Tenn School for Blind,115 Stewarts Ferry Pike,Nashville,TN,37214,"115 Stewarts Ferry Pike, Nashville, TN, 37214","-86.65587,36.16713",-86.65587,36.16713
964,Tennessee School for the Deaf,Tenn School for Deaf,2725 Island Home Bl,Knoxville,TN,37920,"2725 Island Home Bl, Knoxville, TN, 37920","-83.880005,35.95927",-83.880005,35.95927
985,Achievement School District,Achievement School District,477 South Main Street,Memphis,TN,38103,"477 South Main Street, Memphis, TN, 38103","-90.058858,35.134402",-90.058858,35.134402
